# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
1.00000e+00      4.05958e+01      0.00000e+00
1.20000e+00      3.51591e+01      0.00000e+00
1.40000e+00      3.11155e+01      0.00000e+00
1.70000e+00      2.66608e+01      0.00000e+00
2.00000e+00      2.34175e+01      0.00000e+00
2.50000e+00      1.95917e+01      0.00000e+00
3.00000e+00      1.69350e+01      0.00000e+00
3.50000e+00      1.49751e+01      0.00000e+00
4.00000e+00      1.34656e+01      0.00000e+00
4.50000e+00      1.22650e+01      0.00000e+00
5.00000e+00      1.12859e+01      0.00000e+00
5.50000e+00      1.04711e+01      0.00000e+00
6.00000e+00      9.78201e+00      0.00000e+00
7.00000e+00      8.67846e+00      0.00000e+00
8.00000e+00      7.83242e+00      0.00000e+00
9.00000e+00      7.16221e+00      0.00000e+00
1.00000e+01      6.61763e+00      0.00000e+00
1.20000e+01      5.78527e+00      0.00000e+00
1.40000e+01      5.17822e+00      0.00000e+00
1.70000e+01      4.52296e+00      0.00000e+00
2.00000e+01      4.05612e+00      0.00000e+00
2.50000e+01      3.51888e+00      0.00000e+00
3.00000e+01      3.15641e+00      0.00000e+00
3.50000e+01      2.89611e+00      0.00000e+00
4.00000e+01      2.70078e+00      0.00000e+00
4.50000e+01      2.54935e+00      0.00000e+00
5.00000e+01      2.42897e+00      0.00000e+00
5.50000e+01      2.33136e+00      0.00000e+00
6.00000e+01      2.25094e+00      0.00000e+00
7.00000e+01      2.12712e+00      0.00000e+00
8.00000e+01      2.03739e+00      0.00000e+00
9.00000e+01      1.97039e+00      0.00000e+00
1.00000e+02      1.91928e+00      0.00000e+00
1.20000e+02      1.84858e+00      0.00000e+00
1.40000e+02      1.80444e+00      0.00000e+00
1.70000e+02      1.76663e+00      0.00000e+00
2.00000e+02      1.74733e+00      0.00000e+00
2.50000e+02      1.73511e+00      0.00000e+00
2.96900e+02      1.73610e+00      0.00000e+00
3.00000e+02      1.73641e+00      0.00000e+00
3.50000e+02      1.74404e+00      0.00000e+00
4.00000e+02      1.75471e+00      0.00000e+00
4.50000e+02      1.76678e+00      0.00000e+00
5.00000e+02      1.77940e+00      0.00000e+00
5.50000e+02      1.79209e+00      0.00000e+00
6.00000e+02      1.80460e+00      0.00000e+00
7.00000e+02      1.82858e+00      0.00000e+00
8.00000e+02      1.85090e+00      0.00000e+00
9.00000e+02      1.87150e+00      0.00000e+00
1.00000e+03      1.89051e+00      0.00000e+00
1.20000e+03      1.92434e+00      0.00000e+00
1.40000e+03      1.95355e+00      0.00000e+00
1.70000e+03      1.99072e+00      0.00000e+00
2.00000e+03      2.02188e+00      0.00000e+00
2.50000e+03      2.06439e+00      2.36412e-03
3.00000e+03      2.09863e+00      3.02780e-03
3.50000e+03      2.12712e+00      3.74488e-03
4.00000e+03      2.15140e+00      4.51177e-03
4.50000e+03      2.17247e+00      5.32744e-03
5.00000e+03      2.19102e+00      6.19085e-03
5.50000e+03      2.20756e+00      7.02975e-03
6.00000e+03      2.22245e+00      7.90185e-03
7.00000e+03      2.24831e+00      9.74319e-03
8.00000e+03      2.27018e+00      1.17111e-02
9.00000e+03      2.28904e+00      1.38025e-02
1.00000e+04      2.30557e+00      1.57809e-02
1.20000e+04      2.33343e+00      1.99527e-02
1.40000e+04      2.35623e+00      2.44021e-02
1.70000e+04      2.38398e+00      3.15794e-02
2.00000e+04      2.40641e+00      3.93418e-02
2.50000e+04      2.43606e+00      5.16791e-02
3.00000e+04      2.45935e+00      6.48083e-02
3.50000e+04      2.47842e+00      7.87006e-02
4.00000e+04      2.49452e+00      9.33327e-02
4.50000e+04      2.50842e+00      1.08691e-01
5.00000e+04      2.52063e+00      1.23163e-01
5.50000e+04      2.53150e+00      1.38013e-01
6.00000e+04      2.54130e+00      1.53248e-01
7.00000e+04      2.55837e+00      1.84796e-01
8.00000e+04      2.57290e+00      2.17765e-01
9.00000e+04      2.58554e+00      2.49232e-01
1.00000e+05      2.59672e+00      2.81416e-01
1.20000e+05      2.61586e+00      3.47860e-01
1.40000e+05      2.63186e+00      4.16976e-01
1.70000e+05      2.65188e+00      5.25482e-01
2.00000e+05      2.66856e+00      6.29241e-01
2.50000e+05      2.69140e+00      8.07379e-01
3.00000e+05      2.71005e+00      9.91691e-01
3.50000e+05      2.72583e+00      1.18189e+00
4.00000e+05      2.73951e+00      1.37777e+00
4.50000e+05      2.75159e+00      1.56611e+00
5.00000e+05      2.76242e+00      1.75698e+00
5.50000e+05      2.77224e+00      1.95030e+00
6.00000e+05      2.78121e+00      2.14600e+00
6.92700e+05      2.79607e+00      2.51496e+00
7.00000e+05      2.79716e+00      2.54329e+00
8.00000e+05      2.81102e+00      2.93402e+00
9.00000e+05      2.82329e+00      3.32939e+00
1.00000e+06      2.83430e+00      3.72920e+00
1.20000e+06      2.85344e+00      4.54161e+00
1.40000e+06      2.86972e+00      5.33945e+00
1.70000e+06      2.89034e+00      6.54922e+00
2.00000e+06      2.90771e+00      7.77353e+00
2.50000e+06      2.93175e+00      9.84416e+00
3.00000e+06      2.95154e+00      1.19504e+01
3.50000e+06      2.96839e+00      1.40192e+01
4.00000e+06      2.98307e+00      1.61005e+01
4.50000e+06      2.99609e+00      1.81937e+01
5.00000e+06      3.00780e+00      2.02983e+01
5.50000e+06      3.01843e+00      2.24139e+01
6.00000e+06      3.02817e+00      2.45096e+01
7.00000e+06      3.04553e+00      2.87165e+01
8.00000e+06      3.06065e+00      3.29432e+01
