# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
9.00000e+06      3.07407e+00      3.71883e+01
1.00000e+07      3.08614e+00      4.14512e+01
1.20000e+07      3.10715e+00      4.99147e+01
1.40000e+07      3.12505e+00      5.84053e+01
1.70000e+07      3.14777e+00      7.11870e+01
2.00000e+07      3.16695e+00      8.40191e+01
2.50000e+07      3.19352e+00      1.05509e+02
3.00000e+07      3.21543e+00      1.26949e+02
3.50000e+07      3.23410e+00      1.48445e+02
4.00000e+07      3.25039e+00      1.69992e+02
4.50000e+07      3.26483e+00      1.91588e+02
5.00000e+07      3.27783e+00      2.13228e+02
5.50000e+07      3.28964e+00      2.34820e+02
6.00000e+07      3.30046e+00      2.56436e+02
7.00000e+07      3.31976e+00      2.99739e+02
8.00000e+07      3.33658e+00      3.43127e+02
9.00000e+07      3.35151e+00      3.86595e+02
1.00000e+08      3.36494e+00      4.30014e+02
1.20000e+08      3.38833e+00      5.16990e+02
1.40000e+08      3.40827e+00      6.04129e+02
1.70000e+08      3.43360e+00      7.35100e+02
2.00000e+08      3.45498e+00      8.66365e+02
2.50000e+08      3.48461e+00      1.08522e+03
3.00000e+08      3.50905e+00      1.30453e+03
3.50000e+08      3.52989e+00      1.52422e+03
4.00000e+08      3.54807e+00      1.74426e+03
4.50000e+08      3.56420e+00      1.96461e+03
5.00000e+08      3.57870e+00      2.18503e+03
5.50000e+08      3.59189e+00      2.40568e+03
6.00000e+08      3.60398e+00      2.62653e+03
7.00000e+08      3.62553e+00      3.06880e+03
8.00000e+08      3.64433e+00      3.51174e+03
9.00000e+08      3.66101e+00      3.95499e+03
1.00000e+09      3.67601e+00      4.39872e+03
