# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
9.00000e+06      2.96767e+00      3.71883e+01
1.00000e+07      2.97974e+00      4.14512e+01
1.20000e+07      3.00075e+00      4.99147e+01
1.40000e+07      3.01865e+00      5.84053e+01
1.70000e+07      3.04137e+00      7.11870e+01
2.00000e+07      3.06055e+00      8.40191e+01
2.50000e+07      3.08712e+00      1.05509e+02
3.00000e+07      3.10903e+00      1.26949e+02
3.50000e+07      3.12770e+00      1.48445e+02
4.00000e+07      3.14399e+00      1.69992e+02
4.50000e+07      3.15844e+00      1.91588e+02
5.00000e+07      3.17143e+00      2.13228e+02
5.50000e+07      3.18324e+00      2.34820e+02
6.00000e+07      3.19407e+00      2.56436e+02
7.00000e+07      3.21336e+00      2.99739e+02
8.00000e+07      3.23018e+00      3.43127e+02
9.00000e+07      3.24512e+00      3.86595e+02
1.00000e+08      3.25854e+00      4.30014e+02
1.20000e+08      3.28194e+00      5.16990e+02
1.40000e+08      3.30188e+00      6.04129e+02
1.70000e+08      3.32720e+00      7.35100e+02
2.00000e+08      3.34858e+00      8.66365e+02
2.50000e+08      3.37821e+00      1.08522e+03
3.00000e+08      3.40266e+00      1.30453e+03
3.50000e+08      3.42349e+00      1.52422e+03
4.00000e+08      3.44167e+00      1.74426e+03
4.50000e+08      3.45780e+00      1.96461e+03
5.00000e+08      3.47231e+00      2.18503e+03
5.50000e+08      3.48549e+00      2.40568e+03
6.00000e+08      3.49758e+00      2.62653e+03
7.00000e+08      3.51913e+00      3.06880e+03
8.00000e+08      3.53793e+00      3.51174e+03
9.00000e+08      3.55461e+00      3.95499e+03
1.00000e+09      3.56961e+00      4.39872e+03
