# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
1.00000e+00      4.05958e+01      0.00000e+00
1.20000e+00      3.51591e+01      0.00000e+00
1.40000e+00      3.11155e+01      0.00000e+00
1.70000e+00      2.66608e+01      0.00000e+00
2.00000e+00      2.34175e+01      0.00000e+00
2.50000e+00      1.95917e+01      0.00000e+00
3.00000e+00      1.69350e+01      0.00000e+00
3.50000e+00      1.49751e+01      0.00000e+00
4.00000e+00      1.34656e+01      0.00000e+00
4.50000e+00      1.22650e+01      0.00000e+00
5.00000e+00      1.12859e+01      0.00000e+00
5.50000e+00      1.04711e+01      0.00000e+00
6.00000e+00      9.78201e+00      0.00000e+00
7.00000e+00      8.67846e+00      0.00000e+00
8.00000e+00      7.83242e+00      0.00000e+00
9.00000e+00      7.16221e+00      0.00000e+00
1.00000e+01      6.61763e+00      0.00000e+00
1.20000e+01      5.78527e+00      0.00000e+00
1.40000e+01      5.17822e+00      0.00000e+00
1.70000e+01      4.52296e+00      0.00000e+00
2.00000e+01      4.05612e+00      0.00000e+00
2.50000e+01      3.51888e+00      0.00000e+00
3.00000e+01      3.15641e+00      0.00000e+00
3.50000e+01      2.89611e+00      0.00000e+00
4.00000e+01      2.70078e+00      0.00000e+00
4.50000e+01      2.54935e+00      0.00000e+00
5.00000e+01      2.42897e+00      0.00000e+00
5.50000e+01      2.33136e+00      0.00000e+00
6.00000e+01      2.25094e+00      0.00000e+00
7.00000e+01      2.12712e+00      0.00000e+00
8.00000e+01      2.03739e+00      0.00000e+00
9.00000e+01      1.97039e+00      0.00000e+00
1.00000e+02      1.91928e+00      0.00000e+00
1.20000e+02      1.84683e+00      0.00000e+00
1.40000e+02      1.79720e+00      0.00000e+00
1.70000e+02      1.75212e+00      0.00000e+00
2.00000e+02      1.72726e+00      0.00000e+00
2.50000e+02      1.70917e+00      0.00000e+00
2.96900e+02      1.70579e+00      0.00000e+00
3.00000e+02      1.70585e+00      0.00000e+00
3.50000e+02      1.70965e+00      0.00000e+00
4.00000e+02      1.71707e+00      0.00000e+00
4.50000e+02      1.72630e+00      0.00000e+00
5.00000e+02      1.73640e+00      0.00000e+00
5.50000e+02      1.74684e+00      0.00000e+00
6.00000e+02      1.75732e+00      0.00000e+00
7.00000e+02      1.77776e+00      0.00000e+00
8.00000e+02      1.79706e+00      0.00000e+00
9.00000e+02      1.81505e+00      0.00000e+00
1.00000e+03      1.83177e+00      0.00000e+00
1.20000e+03      1.86174e+00      0.00000e+00
1.40000e+03      1.88779e+00      0.00000e+00
1.70000e+03      1.92115e+00      0.00000e+00
2.00000e+03      1.94926e+00      0.00000e+00
2.50000e+03      1.98780e+00      2.36412e-03
3.00000e+03      2.01901e+00      3.02780e-03
3.50000e+03      2.04507e+00      3.74488e-03
4.00000e+03      2.06735e+00      4.51177e-03
4.50000e+03      2.08673e+00      5.32744e-03
5.00000e+03      2.10385e+00      6.19085e-03
5.50000e+03      2.11914e+00      7.02975e-03
6.00000e+03      2.13293e+00      7.90185e-03
7.00000e+03      2.15695e+00      9.74319e-03
8.00000e+03      2.17732e+00      1.17111e-02
9.00000e+03      2.19494e+00      1.38025e-02
1.00000e+04      2.21042e+00      1.57809e-02
1.20000e+04      2.23658e+00      1.99527e-02
1.40000e+04      2.25808e+00      2.44021e-02
1.70000e+04      2.28436e+00      3.15794e-02
2.00000e+04      2.30568e+00      3.93418e-02
2.50000e+04      2.33399e+00      5.16791e-02
3.00000e+04      2.35635e+00      6.48083e-02
3.50000e+04      2.37473e+00      7.87006e-02
4.00000e+04      2.39031e+00      9.33327e-02
4.50000e+04      2.40380e+00      1.08691e-01
5.00000e+04      2.41568e+00      1.23163e-01
5.50000e+04      2.42629e+00      1.38013e-01
6.00000e+04      2.43587e+00      1.53248e-01
7.00000e+04      2.45262e+00      1.84796e-01
8.00000e+04      2.46693e+00      2.17765e-01
9.00000e+04      2.47941e+00      2.49232e-01
1.00000e+05      2.49049e+00      2.81416e-01
1.20000e+05      2.50951e+00      3.47860e-01
1.40000e+05      2.52547e+00      4.16976e-01
1.70000e+05      2.54548e+00      5.25482e-01
2.00000e+05      2.56216e+00      6.29241e-01
2.50000e+05      2.58500e+00      8.07379e-01
3.00000e+05      2.60365e+00      9.91691e-01
3.50000e+05      2.61943e+00      1.18189e+00
4.00000e+05      2.63311e+00      1.37777e+00
4.50000e+05      2.64520e+00      1.56611e+00
5.00000e+05      2.65603e+00      1.75698e+00
5.50000e+05      2.66584e+00      1.95030e+00
6.00000e+05      2.67482e+00      2.14600e+00
6.92700e+05      2.68968e+00      2.51496e+00
7.00000e+05      2.69076e+00      2.54329e+00
8.00000e+05      2.70462e+00      2.93402e+00
9.00000e+05      2.71689e+00      3.32939e+00
1.00000e+06      2.72791e+00      3.72920e+00
1.20000e+06      2.74705e+00      4.54161e+00
1.40000e+06      2.76332e+00      5.33945e+00
1.70000e+06      2.78394e+00      6.54922e+00
2.00000e+06      2.80132e+00      7.77353e+00
2.50000e+06      2.82535e+00      9.84416e+00
3.00000e+06      2.84514e+00      1.19504e+01
3.50000e+06      2.86199e+00      1.40192e+01
4.00000e+06      2.87668e+00      1.61005e+01
4.50000e+06      2.88970e+00      1.81937e+01
5.00000e+06      2.90140e+00      2.02983e+01
5.50000e+06      2.91203e+00      2.24139e+01
6.00000e+06      2.92177e+00      2.45096e+01
7.00000e+06      2.93913e+00      2.87165e+01
8.00000e+06      2.95426e+00      3.29432e+01
