# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
1.20000e+08      3.23874e+00      5.16990e+02
1.40000e+08      3.25868e+00      6.04129e+02
1.70000e+08      3.28400e+00      7.35100e+02
2.00000e+08      3.30538e+00      8.66365e+02
2.50000e+08      3.33501e+00      1.08522e+03
3.00000e+08      3.35946e+00      1.30453e+03
3.50000e+08      3.38030e+00      1.52422e+03
4.00000e+08      3.39847e+00      1.74426e+03
4.50000e+08      3.41460e+00      1.96461e+03
5.00000e+08      3.42911e+00      2.18503e+03
5.50000e+08      3.44230e+00      2.40568e+03
6.00000e+08      3.45439e+00      2.62653e+03
7.00000e+08      3.47593e+00      3.06880e+03
8.00000e+08      3.49473e+00      3.51174e+03
9.00000e+08      3.51141e+00      3.95499e+03
1.00000e+09      3.52641e+00      4.39872e+03
