      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  1.700E+02 2.546E+02 2.047E+00 1.826E-05 0.000E+00 1.295E-04 1.477E-04 2.047E+00 6.415E+01 -0.0223 1.656E+00
  2.000E+02 2.868E+02 2.015E+00 2.382E-05 0.000E+00 1.435E-04 1.674E-04 2.015E+00 7.894E+01 -0.0308 1.616E+00
  2.500E+02 3.396E+02 1.989E+00 3.381E-05 0.000E+00 1.670E-04 2.008E-04 1.989E+00 1.039E+02 -0.0437 1.575E+00
  3.000E+02 3.917E+02 1.981E+00 4.459E-05 0.000E+00 1.905E-04 2.351E-04 1.981E+00 1.291E+02 -0.0552 1.553E+00
  3.173E+02 4.096E+02 1.981E+00 5.607E-05 0.000E+00 2.140E-04 2.701E-04 1.982E+00  Minimum ionization
  3.500E+02 4.432E+02 1.982E+00 5.607E-05 0.000E+00 2.140E-04 2.701E-04 1.982E+00 1.544E+02 -0.0658 1.539E+00
  4.000E+02 4.945E+02 1.987E+00 6.817E-05 0.000E+00 2.375E-04 3.056E-04 1.988E+00 1.796E+02 -0.0757 1.531E+00
  4.500E+02 5.455E+02 1.995E+00 8.083E-05 0.000E+00 2.610E-04 3.418E-04 1.996E+00 2.047E+02 -0.0849 1.526E+00
  5.000E+02 5.964E+02 2.005E+00 9.400E-05 0.000E+00 2.844E-04 3.784E-04 2.005E+00 2.297E+02 -0.0935 1.523E+00
  5.500E+02 6.471E+02 2.015E+00 1.076E-04 0.000E+00 3.079E-04 4.156E-04 2.015E+00 2.545E+02 -0.1017 1.521E+00
  6.000E+02 6.977E+02 2.025E+00 1.217E-04 0.000E+00 3.314E-04 4.531E-04 2.025E+00 2.793E+02 -0.1094 1.521E+00
  7.000E+02 7.987E+02 2.045E+00 1.510E-04 0.000E+00 3.784E-04 5.294E-04 2.045E+00 3.284E+02 -0.1238 1.521E+00
  8.000E+02 8.995E+02 2.064E+00 1.817E-04 0.000E+00 4.253E-04 6.071E-04 2.064E+00 3.771E+02 -0.1370 1.522E+00
  9.000E+02 1.000E+03 2.081E+00 2.137E-04 0.000E+00 4.723E-04 6.860E-04 2.082E+00 4.253E+02 -0.1492 1.523E+00
  1.000E+03 1.101E+03 2.098E+00 2.468E-04 7.059E-06 5.193E-04 7.731E-04 2.099E+00 4.732E+02 -0.1605 1.525E+00
  1.200E+03 1.301E+03 2.128E+00 3.160E-04 5.280E-05 6.132E-04 9.820E-04 2.129E+00 5.678E+02 -0.1809 1.529E+00
  1.400E+03 1.502E+03 2.154E+00 3.886E-04 1.049E-04 7.071E-04 1.201E-03 2.156E+00 6.611E+02 -0.1991 1.532E+00
  1.700E+03 1.803E+03 2.188E+00 5.031E-04 1.929E-04 8.480E-04 1.544E-03 2.189E+00 7.992E+02 -0.2230 1.537E+00
  2.000E+03 2.103E+03 2.216E+00 6.233E-04 2.913E-04 9.922E-04 1.907E-03 2.218E+00 9.353E+02 -0.2439 1.541E+00
  2.500E+03 2.604E+03 2.255E+00 8.340E-04 4.742E-04 1.245E-03 2.553E-03 2.258E+00 1.159E+03 -0.2738 1.545E+00
  3.000E+03 3.104E+03 2.287E+00 1.056E-03 6.769E-04 1.500E-03 3.232E-03 2.290E+00 1.378E+03 -0.2991 1.549E+00
  3.500E+03 3.604E+03 2.313E+00 1.286E-03 8.961E-04 1.757E-03 3.940E-03 2.317E+00 1.595E+03 -0.3212 1.552E+00
  4.000E+03 4.104E+03 2.336E+00 1.525E-03 1.130E-03 2.017E-03 4.672E-03 2.341E+00 1.810E+03 -0.3407 1.554E+00
  4.500E+03 4.604E+03 2.356E+00 1.771E-03 1.376E-03 2.279E-03 5.425E-03 2.361E+00 2.023E+03 -0.3582 1.556E+00
